0RF1b,1B
NS,1AB
NS1,1AB
NSP1ab,1AB
NSP1ab protein,1AB
Non-structural polyprotein 1AB,1AB
Non-structural protein,1AB
OEF1b,1B
OFR1ab,1AB
ORF 1ab,1AB
ORF-1b protein,1B
ORF1,1B
ORF1AB,1AB
ORF1AB nonstructural polyprotein,1AB
ORF1B,1B
ORF1_1,1AB
ORF1a ORF1b,1AB
ORF1ab,1AB
ORF1ab polyprotein,1AB
ORF1ab protein,1AB
ORF1b,1B
ORF1b protein,1B
ORF1b protein precursor,1B
ORF1b; translated by ribosomal frameshift,1B
Orf 1b,1B
Orf1ab,1AB
Orf1b,1B
Polyprotein 1ab,1AB
RDRP,1B
RNA dependant RNA polymerase,1B
RNA dependent RNA Polymerase,1B
RNA dependent RNA polymerase,1B
RNA polymerase,1B
RNA-Dependent RNA polymerase,1B
RNA-dependant RNA polymerase,1B
RNA-dependent RNA polymerase,1B
RNA-dependent RNA polymerase ORf1b,1B
RNA-dependent RNA polymerase gene,1B
RNA-dependent RNA polymerase motif,1B
RNA-dependent RNA polymerase protein,1B
RNA-dependent RNA-polymerase,1B
RNA-dependent polymerase,1B
RdRp,1B
RdRp polymerase,1B
RdRp protein,1B
non structural protein,1B
non-structural ORF1ab polyprotein,1B
non-structural ORF1b polyprotein,1B
non-structural polyprotein,1b
non-structural polyprotein 1AB,1AB
non-structural polyprotein 1ab,1AB
non-structural polyprotein ORF1b,1B
non-structural protein,1AB
non-structural protein 1ab,1AB
non-structural protein 1b,1B
non-structural-protein,1B
non-structure polyprotein,1B
non-structure protein,1B
nonstructural ORF1ab polyprotein,1AB
nonstructural polyprotein,1BB
nonstructural polyprotein 1AB,1AB
nonstructural polyprotein 1ab,1AB
nonstructural polyprotein ORF1ab,1AB
nonstructural protein,1B
nonstructural protein 1ab,1AB
nonstructural protein 1b,1B
nonstructural protein NSP1ab,1AB
nonstructural protein ORF1b,1B
nonstructural protein RdRp,1B
nonstructural protein nsp1ab,1AB
nonstructural protein nsplab,1AB
nonstructural protein, putative RNA-dependant RNA polymerase,1B
nsp1ab,1AB
orf 1b,1B
orf1ab,1AB
orf1ab polyprotein,1AB
orf1ab polyprotein (orf1ab),1AB
orf1ab polyprotein (pp1ab),1AB
orf1b,1B
pol,1B
pol protein,1B
pol1b,1B
polymerase,1B
polymerase 1b,1B
polymerase 1b protein,1B
polymerase protein,1B
polyprotein,1AB
polyprotein 1AB,1AB
polyprotein 1B,1B
polyprotein 1ab,1AB
polyprotein 1b,1B
polyprotein ORF1ab,1AB
polyprotein ORF1b,1B
putative RNA dependent RNA polymerase,1B
putative RNA-dependent RNA polymerase,1B
putative RNA-dependent polymerase,1B
putative RdRp,1B
rdrp,1B
1B,1B

